state,customer_count,total_estimated_orders,total_net_revenue,total_net_margin,avg_margin_per_cust,observed_promo_usage_pct,avg_purchase_amount,normalized_organic_score
Mississippi,93,2445,5973.0,2856.6,30.72,44.09,64.23,68.86
Alaska,119,3202,6976.0,3293.3,27.67,41.18,58.62,68.66
Illinois,106,2726,6411.0,3051.3,28.79,41.51,60.48,66.85
Missouri,88,2390,5735.0,2722.1,30.93,47.73,65.17,65.96
Delaware,93,2435,5819.0,2789.8,30.0,41.94,62.57,65.57
Massachusetts,85,2270,5532.0,2646.6,31.14,48.24,65.08,65.12
Idaho,93,2289,5869.0,2795.3,30.06,45.16,63.11,64.93
Indiana,104,2548,6175.0,2943.0,28.3,39.42,59.38,63.6
Iowa,114,3101,6775.0,3148.3,27.62,52.63,59.43,61.91
South Carolina,93,2573,5525.0,2667.2,28.68,32.26,59.41,61.25
Georgia,87,2380,5296.0,2547.0,29.28,35.63,60.87,59.9
California,103,2525,6150.0,2885.6,28.02,44.66,59.71,59.88
West Virginia,98,2515,5951.0,2795.7,28.53,45.92,60.72,59.31
North Dakota,75,1955,4881.0,2334.3,31.12,48.0,65.08,59.13
Nebraska,93,2393,5627.0,2673.9,28.75,41.94,60.51,58.74
Minnesota,98,2684,5902.0,2762.9,28.19,44.9,60.22,57.79
Vermont,86,2425,5214.0,2500.1,29.07,38.37,60.63,57.36
Maine,107,2703,6264.0,2902.4,27.13,50.47,58.54,55.66
Nevada,108,2802,6168.0,2885.3,26.72,47.22,57.11,54.99
South Dakota,101,2545,5894.0,2740.3,27.13,47.52,58.36,52.98
Texas,92,2472,5472.0,2575.7,28.0,46.74,59.48,52.56
New Jersey,80,2333,4889.0,2321.1,29.01,43.75,61.11,51.83
Montana,80,2055,4982.0,2334.0,29.18,51.25,62.27,50.46
Wyoming,87,2695,5095.0,2416.6,27.78,40.23,58.56,50.31
Oklahoma,91,2293,5213.0,2464.0,27.08,38.46,57.29,49.4
Colorado,105,2933,5858.0,2721.9,25.92,47.62,55.79,48.72
New York,98,2692,5558.0,2594.1,26.47,46.94,56.71,47.73
Kansas,98,2549,5512.0,2587.0,26.4,45.92,56.24,47.64
Ohio,76,2018,4621.0,2187.4,28.78,47.37,60.8,47.07
Arkansas,82,2187,4938.0,2308.0,28.15,51.22,60.22,46.03
North Carolina,93,2398,5306.0,2444.5,26.28,50.54,57.05,42.63
Tennessee,84,2268,5014.0,2313.3,27.54,55.95,59.69,42.49
Alabama,94,2259,5258.0,2433.5,25.89,46.81,55.94,42.18
Kentucky,69,1697,4051.0,1914.7,27.75,42.03,58.71,38.81
Oregon,77,2326,4496.0,2075.2,26.95,51.95,58.39,36.26
Rhode Island,87,2238,4932.0,2251.0,25.87,52.87,56.69,36.08
Maryland,94,2511,5155.0,2337.9,24.87,53.19,54.84,34.68
Florida,73,1947,4266.0,1960.7,26.86,50.68,58.44,33.74
Arizona,72,1971,4154.0,1927.4,26.77,48.61,57.69,33.27
Utah,75,2057,4198.0,1956.9,26.09,42.67,55.97,33.14
New Hampshire,79,2140,4325.0,2018.5,25.55,41.77,54.75,32.84
Hawaii,87,2251,4715.0,2128.4,24.46,49.43,54.2,29.38
Louisiana,83,2250,4414.0,1978.9,23.84,56.63,53.18,21.41
