Attribute,Preferred ICP (High Value Organic),Overall Population
Customer Count,b'\xac\x03\x00\x00\x00\x00\x00\x00',3900
Average Age,43.7,44.3
Average Purchase Amount ($),77.0,59.12
Avg Historical Purchases,29.8,25.5
Avg Estimated Net Margin ($),41.2,27.74
Observed Promo Usage (%),0.0% observed promo usage,46.0% observed promo usage
Avg Satisfaction Rating,3.78,3.75
Subscription Status (% Yes),28.9,28.3
Top Product Category,Clothing,Clothing
Top Payment Method,Most common payment method: Credit Card,Most common payment method: Venmo
Top Shipping Method,Most common shipping method: 2-Day Shipping,Most common shipping method: Next Day Air
