customer_id,age,gender,item_purchased,category,purchase_amount_usd,state,size,color,season,satisfaction_score,subscription_status,shipping_type,discount_applied,promo_code_used,previous_purchases,payment_method,frequency_of_purchases,observed_category,estimated_total_purchases,observed_promo_usage,frequency_proxy_days,gross_amount,discount_amount,estimated_cogs_40,net_margin_contribution,margin_cogs_30,margin_cogs_50,loyalty_def_A_behavioral,loyalty_def_B_organic_margin,strategic_segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,Yes,Yes,14,Venmo,Fortnightly,Clothing,15,1,14,66.25,13.25,26.5,21.5,28.12,14.88,False,False,3. Promo-Using Repeat
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,Yes,Yes,2,Cash,Fortnightly,Clothing,3,1,14,80.0,16.0,32.0,27.0,35.0,19.0,False,False,3. Promo-Using Repeat
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,Yes,Yes,23,Credit Card,Weekly,Clothing,24,1,7,91.25,18.25,36.5,31.5,40.62,22.38,False,False,3. Promo-Using Repeat
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,Yes,Yes,49,PayPal,Weekly,Footwear,50,1,7,112.5,22.5,45.0,40.0,51.25,28.75,True,False,2. High Spend Bargain Hunter
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,Yes,Yes,31,PayPal,Annually,Clothing,32,1,365,61.25,12.25,24.5,19.5,25.62,13.38,False,False,3. Promo-Using Repeat
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,Yes,Yes,14,Venmo,Weekly,Footwear,15,1,7,25.0,5.0,10.0,5.0,7.5,2.5,False,False,3. Promo-Using Repeat
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,Yes,Yes,49,Cash,Quarterly,Clothing,50,1,90,106.25,21.25,42.5,37.5,48.12,26.88,True,False,2. High Spend Bargain Hunter
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,Yes,Yes,19,Credit Card,Weekly,Clothing,20,1,7,42.5,8.5,17.0,12.0,16.25,7.75,False,False,3. Promo-Using Repeat
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8,Venmo,Annually,Outerwear,9,1,365,121.25,24.25,48.5,43.5,55.62,31.38,False,False,2. High Spend Bargain Hunter
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,Accessories,5,1,90,38.75,7.75,15.5,10.5,14.38,6.62,False,False,3. Promo-Using Repeat
